ID_x,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Event,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified,ID_y,Team_Code,Wide_Recievers,Tight_Ends,Running_Backs,Image
270,Burnsville,Park,2021,EVHS22,38,Burnsville,35,Left,2,10,9,1,4-3,Twins,Right,Inside Run,Left,Non Passing Play,Man 1,0,1,0,4,-99,,3.9,5.045,3.5,5.045,false,23,EVHS22,2,1,2,/Dev
167,Burnsville,Park,2021,EVHS22,38,Burnsville,35,Left,2,10,9,1,4-3,Twins,Right,Inside Run,Left,Non Passing Play,Man 1,0,1,0,4,-99,,3.9,5.045,3.5,5.045,false,23,EVHS22,2,1,2,/Dev
271,Burnsville,Park,2021,EVHS22,39,Burnsville,39,Left,3,6,9,1,4-3,Twins,Left,Boot Pass,Unknown,Middle - Middle,Man 1,0,1,0,61,-99,,10.0,5.045,3.9,5.045,false,23,EVHS22,2,1,2,/Dev
168,Burnsville,Park,2021,EVHS22,39,Burnsville,39,Left,3,6,9,1,4-3,Twins,Left,Boot Pass,Unknown,Middle - Middle,Man 1,0,1,0,61,-99,,10.0,5.045,3.9,5.045,false,23,EVHS22,2,1,2,/Dev
272,Burnsville,Park,2021,EVHS22,40,Park,22,Right,1,10,10,1,3-4,Double Wide,Left,Inside Run,Right,Non Passing Play,Man 0,1,0,0,78,-99,,10.0,5.045,2.2,6.0,false,18,EVHS22,4,0,1,/Dev
169,Burnsville,Park,2021,EVHS22,40,Park,22,Right,1,10,10,1,3-4,Double Wide,Left,Inside Run,Right,Non Passing Play,Man 0,1,0,0,78,-99,,10.0,5.045,2.2,6.0,false,18,EVHS22,4,0,1,/Dev
273,Burnsville,Park,2021,EVHS22,41,Burnsville,35,Left,1,10,11,1,4-3,Twins,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,11,-99,,4.6,5.045,3.5,5.045,false,23,EVHS22,2,1,2,/Dev
170,Burnsville,Park,2021,EVHS22,41,Burnsville,35,Left,1,10,11,1,4-3,Twins,Left,Inside Run,Left,Non Passing Play,Man 1,0,1,0,11,-99,,4.6,5.045,3.5,5.045,false,23,EVHS22,2,1,2,/Dev
274,Burnsville,Park,2021,EVHS22,42,Burnsville,46,Left,1,10,11,1,4-3,Twins,Left,Inside Run,Right,Non Passing Play,Man 1,1,1,0,6,-99,,5.2,5.045,4.6,5.045,false,23,EVHS22,2,1,2,/Dev
171,Burnsville,Park,2021,EVHS22,42,Burnsville,46,Left,1,10,11,1,4-3,Twins,Left,Inside Run,Right,Non Passing Play,Man 1,1,1,0,6,-99,,5.2,5.045,4.6,5.045,false,23,EVHS22,2,1,2,/Dev
